        x              y       Side   Disk   Ring   Module
      6.61593      -0.570819    1      9      1      1
      10.4578      0.0680431    1      9      1      1
      7.78637      -0.34494     1      9      1      1
      9.45017      -0.0340512   1      9      1      1
      8.32763      -0.184797    1      9      1      1
      8.57143      -0.144069    1      9      1      1
      7.6552      -0.284718     1      9      1      1
      10.4813      0.175546     1      9      1      1
      8.03803      -0.205918    1      9      1      1
      10.0241      0.118318     1      9      1      1
      8.67654      -0.0773932   1      9      1      1
      8.06299      -0.171476    1      9      1      1
      8.08866      -0.15505     1      9      1      1
      10.5206      0.247576     1      9      1      1
      6.63447      -0.367919    1      9      1      1
      9.70631      0.204672     1      9      1      1
      6.54684      -0.295739    1      9      1      1
      10.0301      0.272493     1      9      1      1
      7.54883      -0.0611055   1      9      1      1
      9.70251      0.292661     1      9      1      1
      8.13999      0.0538908    1      9      1      1
      9.3905      0.278679      1      9      1      1
      7.78751      0.0318774    1      9      1      1
      7.97939      0.211535     1      9      1      1
      10.4759      0.721427     1      9      1      1
      7.24765      0.240493     1      9      1      1
      10.1442      0.767609     1      9      1      1
      8.18637      0.457512     1      9      1      1
      6.70893      0.305836     1      9      1      1
      6.32642      0.297078     1      9      1      1
      6.32635      0.331975     1      9      1      1
      10.3265      0.960998     1      9      1      1
      6.31821      0.348932     1      9      1      1
      9.12608      0.796186     1      9      1      1
      6.71781      0.449891     1      9      1      1
      9.13999      0.836357     1      9      1      1
      10.317      1.08479       1      9      1      1
      6.87168      0.566316     1      9      1      1
      8.67038      0.921441     1      9      1      1
      6.92301      0.690245     1      9      1      1
      6.28625      0.614704     1      9      1      1
      8.52385      1.01467      1      9      1      1
      6.86281      0.824988     1      9      1      1
      9.1525      1.20536       1      9      1      1
      9.95508      1.35136      1      9      1      1
      8.15155      1.12529      1      9      1      1
      9.25729      1.31177      1      9      1      1
      6.65608      0.903615     1      9      1      1
      7.55942      1.08799      1      9      1      1
      7.83682      1.19251      1      9      1      1
      9.66034      1.58289      1      9      1      1
      7.52872      1.29097      1      9      1      1
      9.47558      1.61709      1      9      1      1
      8.24658      1.4213       1      9      1      1
      9.08538      1.56516      1      9      1      1
      7.69027      1.34978      1      9      1      1
      9.33099      1.63039      1      9      1      1
      9.39451      1.66133      1      9      1      1
      7.46213      1.38227      1      9      1      1
      8.5195       1.55413      1      9      1      1
      10.1198      1.81767      1      9      1      1
      6.51451      1.34946      1      9      1      1
      6.34619      1.32423      1      9      1      1
      6.6511       1.44703      1      9      1      1
      8.14089      1.70459      1      9      1      1
      7.16971      1.5646       1      9      1      1
      9.80244      2.02968      1      9      1      1
      9.96065      2.05474      1      9      1      1
      9.47378      1.99281      1      9      1      1
      8.08113      1.88994      1      9      1      1
      7.99479      1.92309      1      9      1      1
      6.6587       1.71906      1      9      1      1
      6.36294      1.73044      1      9      1      1
      7.53017      1.95281      1      9      1      1
      7.39261      1.94921      1      9      1      1
      8.78221      2.19937      1      9      1      1
      6.74192      1.89758      1      9      1      1
      9.24902      2.32393      1      9      1      1
      7.24796      2.0305       1      9      1      1
      8.44177      2.23687      1      9      1      1
      7.67617      2.12574      1      9      1      1
      8.51444      2.29         1      9      1      1
      6.84596      2.07271      1      9      1      1
      8.57307      2.36784      1      9      1      1
      6.55462      2.12022      1      9      1      1
      7.36155      2.26575      1      9      1      1
      8.00428      2.37514      1      9      1      1
      7.64752      2.32369      1      9      1      1
      8.49717      2.46303      1      9      1      1
      6.61054      2.21514      1      9      1      1
      7.30889      2.36404      1      9      1      1
      6.92903      2.31621      1      9      1      1
      9.60836      2.7431       1      9      1      1
      6.36344      2.23928      1      9      1      1
      8.97796      2.69135      1      9      1      1
      7.85238      2.56623      1      9      1      1
      7.98279      2.68054      1      9      1      1
      5.9983      2.36875       1      9      1      1
      6.70361      2.52349      1      9      1      1
      6.2278      2.45573       1      9      1      1
      7.39722      2.66009      1      9      1      1
      6.87595      2.71532      1      9      1      1
      7.64372      2.8597       1      9      1      1
      9.3169       3.17533      1      9      1      1
      6.61715      1.52117      1      9      1      2
      7.17168      1.84861      1      9      1      2
      6.3355       1.43182      1      9      1      2
      7.73407      2.14919      1      9      1      2
      7.70347      2.14307      1      9      1      2
      6.81724      1.76538      1      9      1      2
      8.04677      2.3955       1      9      1      2
      7.27855      2.04055      1      9      1      2
      7.10812      1.9583       1      9      1      2
      10.0387      3.51407      1      9      1      2
      9.50437      3.26164      1      9      1      2
      7.68008      2.34334      1      9      1      2
      6.6596       1.85425      1      9      1      2
      6.39183      1.74026      1      9      1      2
      7.39513      2.28513      1      9      1      2
      7.88973      2.57141      1      9      1      2
      6.88068      2.08193      1      9      1      2
      8.2163       2.79052      1      9      1      2
      9.29988      3.3763       1      9      1      2
      6.58346      2.1297       1      9      1      2
      6.95693      2.32921      1      9      1      2
      6.09523      1.90338      1      9      1      2
      8.90922      3.34713      1      9      1      2
      6.64018      2.22314      1      9      1      2
      7.68307      2.86675      1      9      1      2
      8.59983      3.33888      1      9      1      2
      6.32777      2.19677      1      9      1      2
      7.80503      2.95817      1      9      1      2
      6.73655      2.51915      1      9      1      2
      6.90441      2.71897      1      9      1      2
      6.37703      2.45293      1      9      1      2
      7.56051      3.08521      1      9      1      2
      9.39716      4.06035      1      9      1      2
      7.1521       2.93852      1      9      1      2
      7.46075      3.12664      1      9      1      2
      6.02401      2.39599      1      9      1      2
      5.93424      2.35165      1      9      1      2
      9.5726       4.2083       1      9      1      2
      8.43259      3.68916      1      9      1      2
      7.57861      3.28968      1      9      1      2
      7.23316      3.13227      1      9      1      2
      7.91046      3.55716      1      9      1      2
      6.44031      2.94621      1      9      1      2
      6.15227      2.82213      1      9      1      2
      6.08937      2.86312      1      9      1      2
      8.61364      4.19386      1      9      1      2
      7.519        3.6424       1      9      1      2
      6.92536      3.38353      1      9      1      2
      8.53969      4.20669      1      9      1      2
      8.54407      4.22014      1      9      1      2
      6.69286      3.31058      1      9      1      2
      6.47748      3.22609      1      9      1      2
      8.9844       4.52645      1      9      1      2
      6.76731      3.38499      1      9      1      2
      6.30151      3.15246      1      9      1      2
      8.46996      4.25533      1      9      1      2
      9.10022      4.60613      1      9      1      2
      7.35727      3.75949      1      9      1      2
      8.94521      4.64573      1      9      1      2
      6.89725      3.68127      1      9      1      2
      5.76096      3.11072      1      9      1      2
      5.91762      3.24432      1      9      1      2
      8.04913      4.41969      1      9      1      2
      6.88074      3.95625      1      9      1      2
      5.56449      3.31991      1      9      1      2
      5.82575      3.49078      1      9      1      2
      7.5681       4.39346      1      9      1      2
      7.16939      4.23037      1      9      1      2
      8.25531      4.78688      1      9      1      2
      5.8778       3.60235      1      9      1      2
      5.74983      3.57362      1      9      1      2
      6.36712      3.94987      1      9      1      2
      8.36932      5.11442      1      9      1      2
      6.82678      4.34882      1      9      1      2
      5.87085      3.86536      1      9      1      2
      7.97929      4.95369      1      9      1      2
      6.01341      3.96045      1      9      1      2
      7.12779      4.59606      1      9      1      2
      8.11361      5.26343      1      9      1      2
      6.4127       4.41174      1      9      1      2
      5.50664      4.02886      1      9      1      2
      6.69152      4.63634      1      9      1      2
      8.92781      5.80455      1      9      1      2
      8.76165      5.75577      1      9      1      2
      8.75687      5.76515      1      9      1      2
      7.69058      5.25128      1      9      1      2
      7.72696      5.29089      1      9      1      2
      5.39667      4.13441      1      9      1      2
      5.54605      4.21613      1      9      1      2
      5.11687      3.99993      1      9      1      2
      5.91261      4.41263      1      9      1      2
      8.88707      5.9286       1      9      1      2
      5.14455      4.02279      1      9      1      2
      7.72576      5.33891      1      9      1      2
      5.32953      4.13387      1      9      1      2
      5.367        4.21469      1      9      1      2
      6.4365       4.78769      1      9      1      2
      7.99818      5.60024      1      9      1      2
      5.55288      4.3571       1      9      1      2
      4.97501      4.10194      1      9      1      2
      5.82029      4.55999      1      9      1      2
      7.79023      5.56733      1      9      1      2
      8.04391      5.72735      1      9      1      2
      5.14029      4.30681      1      9      1      2
      8.11709      5.87407      1      9      1      2
      5.22083      4.43542      1      9      1      2
      7.7749       5.77383      1      9      1      2
      5.98585      4.89664      1      9      1      2
      6.17782      5.01091      1      9      1      2
      5.31856      4.5744       1      9      1      2
      7.68596      5.30831      1      9      1      3
      7.0324       4.67345      1      9      1      3
      5.79938      3.47123      1      9      1      3
      8.00633      5.69586      1      9      1      3
      5.85074      3.58976      1      9      1      3
      6.682        4.49999      1      9      1      3
      8.10374      5.92409      1      9      1      3
      5.82906      3.65392      1      9      1      3
      6.6328       4.52087      1      9      1      3
      5.98212      3.93976      1      9      1      3
      6.38007      4.39133      1      9      1      3
      5.84057      3.85478      1      9      1      3
      8.01204      6.0441       1      9      1      3
      7.72997      5.75985      1      9      1      3
      6.11661      4.38578      1      9      1      3
      8.11374      6.46478      1      9      1      3
      6.4083       4.76251      1      9      1      3
      7.42061      5.88515      1      9      1      3
      7.87051      6.34139      1      9      1      3
      5.88127      4.39458      1      9      1      3
      5.85354      4.50726      1      9      1      3
      5.42583      4.11782      1      9      1      3
      5.38605      4.1221       1      9      1      3
      7.30298      6.05204      1      9      1      3
      6.34509      5.09175      1      9      1      3
      5.37171      4.13958      1      9      1      3
