         x            y         Side    Disk   Ring  Module
      7.43308      -0.226246     1      9      1      1
      8.75781      0.689449      1      9      1      1
      6.88351      0.939637      1      9      1      1
      10.3239      1.74525       1      9      1      1
      10.3097      2.21886       1      9      1      1
      7.67875      1.8705        1      9      1      1
      7.87952      2.86641       1      9      1      1
      7.92255      2.91863       1      9      1      2
      7.7375       3.70817       1      9      1      2
      6.36435      4.04353       1      9      1      2
      8.01405      5.41472       1      9      1      2
      5.9112       4.58005       1      9      1      2
      6.47527      5.10486       1      9      1      2
      6.55329      4.18979       1      9      1      3
      6.43066      5.11945       1      9      1      3
      5.88209      4.66277       1      9      1      3
      5.85837      5.24496       1      9      1      3
      6.17873      5.69702       1      9      1      3
      5.99299      5.73725       1      9      1      3
      4.86219      4.96295       1      9      1      3
      6.37427      6.61999       1      9      1      3
      6.75841      7.16146       1      9      1      3
      6.35108      6.81309       1      9      1      3
      6.41226      8.0828        1      9      1      3
      3.86022      5.56612       1      9      1      3
      6.24063      7.98542       1      9      1      3
      3.94688      5.71695       1      9      1      4
      4.79566      7.93621       1      9      1      4
      4.97114      8.75694       1      9      1      4
      3.22971      7.87779       1      9      1      4
      2.72963      7.87653       1      9      1      4
      2.83482      8.31732       1      9      1      4
      3.14023      9.57997       1      9      1      4
      3.02122      8.3074        1      9      1      5
      2.67941      7.88513       1      9      1      5
      2.72911      9.24566       1      9      1      5
      2.48607      8.63543       1      9      1      5
      1.31253      6.88527       1      9      1      5
      1.75193      9.99848       1      9      1      5
      1.26888      7.52063       1      9      1      5
      1.4151       8.5111        1      9      1      5
      0.378928     6.47564       1      9      1      5
      0.160197     6.69274       1      9      1      5
      0.347061     9.33913       1      9      1      5
      -0.202838    6.99242       1      9      1      5
      0.143352     9.35112       1      9      1      5
      0.130479     9.39512       1      9      1      6
      0.378403     6.50436       1      9      1      6
      0.156527     6.72263       1      9      1      6
      -0.700078    7.44854       1      9      1      6
      -1.49162     9.44166       1      9      1      6
      -1.87752     8.89701       1      9      1      6
      -1.76055     6.29736       1      9      1      6
      -2.59048     6.84504       1      9      1      6
      -1.78042     6.43878       1      9      1      7
      -2.57351     6.82122       1      9      1      7
      -3.7767      7.91606       1      9      1      7
      -3.85795     7.7286        1      9      1      7
      -4.88528     8.48607       1      9      1      7
      -3.95818     6.48649       1      9      1      7
      -5.84019     7.28151       1      9      1      8
      -4.77316     5.47437       1      9      1      8
      -4.62937     5.0943        1      9      1      8
      -4.50543     4.87843       1      9      1      8
      -7.5068      7.12985       1      9      1      8
      -7.07385     6.65666       1      9      1      8
      -5.06943     4.44187       1      9      1      8
      -5.05692     4.22784       1      9      1      8
      -6.37703     4.19615       1      9      1      8
      -8.23114     5.99491       1      9      1      8
      -5.07576     4.41141       1      9      1      9
      -8.23079     5.93761       1      9      1      9
      -5.03243     4.20976       1      9      1      9
      -5.49573     3.97698       1      9      1      9
